,item_A,item_B,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
3904,Chard,Produce,1961,0.06597404572294063,997,0.03354213339407028,5255661,176.81653193180819,1.9669007021063187,0.00037312147796442734,0.01112396380936191
500,Broth,Produce,47841,1.609517756976646,24900,0.8377122582872114,5255661,176.81653193180819,1.9213253012048193,0.009102756056754802,0.010866208494270242
29,Kale,Produce,276261,9.294266111914993,159607,5.369668289495863,5255661,176.81653193180819,1.7308827307072996,0.05256446334723644,0.009789145346289448
1590,Garlic,Produce,309290,10.405462825929785,179597,6.042193110506358,5255661,176.81653193180819,1.7221334432089623,0.058848924997255345,0.009739663052961176
142,Artichokes,Produce,11603,0.39036045513680784,6806,0.22897468393183784,5255661,176.81653193180819,1.7048192771084336,0.002207714690882841,0.009641741405526047
1481,Paste,Produce,77374,2.6030983242054098,48045,1.6163809417433364,5255661,176.81653193180819,1.6104485378291187,0.014722030207047222,0.009108020162109112
1510,Sprouts,Produce,78600,2.6443447189307157,48842,1.6431944626210435,5255661,176.81653193180819,1.60927070963515,0.014955302482408969,0.009101358860809396
222,Beans,Produce,508601,17.11089527217406,323784,10.893085374990621,5255661,176.81653193180819,1.570803375089566,0.09677203305159904,0.008883803781964057
2989,Vinegar,Produce,7752,0.2608010211342355,4955,0.16670137509289693,5255661,176.81653193180819,1.5644803229061552,0.0014749809776543807,0.008848043255986489
376,Tomato,Produce,754539,25.385002797420654,488783,16.444157057927637,5255661,176.81653193180819,1.5437095807341907,0.14356690813962317,0.008730572666867735
1014,Cucumbers,Produce,77259,2.5992293720085007,51212,1.7229285209399468,5255661,176.81653193180819,1.5086112629852377,0.01470014903929306,0.008532071331243252
161,Produce,Produce,7827261,263.33303166720555,5255661,176.81653193180819,5255661,176.81653193180819,1.4893009651878235,1.4893009651878235,0.008422860401776196
35,Seasoning,Produce,404227,13.599434258259624,283064,9.523139866659086,5255661,176.81653193180819,1.4280410083938613,0.07691268519792278,0.00807639982976595
2336,Olives,Produce,59832,2.0129317203951986,42122,1.4171130820712419,5255661,176.81653193180819,1.420445372964247,0.011384295904929944,0.008033442107732675
814,Rice,Produce,335857,11.299258069540883,240483,8.09058461886279,5255661,176.81653193180819,1.3965935222032326,0.06390385529051437,0.007898546063225858
14,Snack,Produce,2433268,81.86258760232958,1789851,60.21606920512546,5255661,176.81653193180819,1.359480761247724,0.46298039390287926,0.007688651883365902
1633,Ribs,Produce,2477,0.08333386601515755,1833,0.06166773371246822,5255661,176.81653193180819,1.3513366066557557,0.0004713013263222267,0.007642591967457646
1391,Noodles,Produce,158701,5.3391876747967375,117831,3.9641957070779283,5255661,176.81653193180819,1.346852695810101,0.030196201771765727,0.007617232852013714
696,Potatoes,Produce,73528,2.4737071055157465,55252,1.8588464937704823,5255661,176.81653193180819,1.3307753565481792,0.013990247848938507,0.007526306177419042
3124,Green,Produce,6603,0.22214514222772924,4992,0.16794616840842408,5255661,176.81653193180819,1.3227163461538465,0.001256359571136723,0.007480727801311988
260,Strawberries,Produce,544991,18.335166319526333,414686,13.951307049802836,5255661,176.81653193180819,1.3142257033032223,0.10369599561311128,0.007432708293419487
34,Oil,Produce,317708,10.68867012674351,248256,8.352092144311245,5255661,176.81653193180819,1.2797596029904614,0.06045062647685991,0.0072377825139338155
630,Flatbread,Produce,222384,7.481678829194507,176857,5.950011119032183,5255661,176.81653193180819,1.2574226635078056,0.04231323138992413,0.007111454170997702
798,Seafood,Produce,146319,4.922619273908695,116399,3.916018841460768,5255661,176.81653193180819,1.257046881846064,0.027840265953226438,0.007109328907835734
5095,Artichoke,Produce,3515,0.11825536497508227,2804,0.0943351474794113,5255661,176.81653193180819,1.2535663338088443,0.0006688026491815207,0.00708964439078751
455,Hummus,Produce,268095,9.019536862871886,214116,7.2035179877680555,5255661,176.81653193180819,1.2521016645182985,0.051010710165667085,0.0070813608367864
2226,Granola,Produce,3894,0.13100608569359043,3194,0.10745594188631942,5255661,176.81653193180819,1.219160926737633,0.0007409153672582765,0.006895061866770579
169,Sauce,Produce,566363,19.0541858530249,466189,15.684025701954091,5255661,176.81653193180819,1.2148785149370749,0.1077624679369541,0.006870842345248634
493,Flour,Produce,62302,2.0960300849722833,51414,1.7297244195814736,5255661,176.81653193180819,1.2117711129264404,0.011854265334084525,0.006853268185317519
